,titulo,precio,imagen
0,Super Peruvian Heritage Shirt Peru Roots Flag Gift Camiseta,"19,59",<img src='https://m.media-amazon.com/images/I/71j6-SK2MEL._AC_UL320_.jpg'>
1,"Camu Camu 12% natural de vitamina C en polvo Bio 100g dosis altaorgánico de Peru, ecológico, puro y sin aditivos","14,99",<img src='https://m.media-amazon.com/images/I/41ts8ylyszL._AC_UL320_.jpg'>
2,Super Peruvian Heritage Peru Roots USA Flag Camiseta,"18,99",<img src='https://m.media-amazon.com/images/I/713D5qvLYKS._AC_UL320_.jpg'>
3,"De pared LS141 Peru - Perú de coloures/diseño como bandera, 40x26 cm","10,99",<img src='https://m.media-amazon.com/images/I/41AFYdqrEmL._AC_UL320_.jpg'>
4,Milenario Perú,No existe precio,<img src='https://m.media-amazon.com/images/I/71wAi+LlHXL._AC_UL320_.jpg'>
5,Incesto en los Andes,No existe precio,<img src='https://m.media-amazon.com/images/I/71Xr8YT7WgL._AC_UL320_.jpg'>
6,"Camiseta de la Umbro Peru 2018 – 2019, hombre, blanco y rojo","64,10",<img src='https://m.media-amazon.com/images/I/71saJpuWLpL._AC_UL320_.jpg'>
7,"Palosanto Perú, Incienso Natural (150 gr.)","12,99",<img src='https://m.media-amazon.com/images/I/61GWwhrG+-L._AC_UL320_.jpg'>
8,PERÚ ESPAÑA BANDERA de la AMISTAD PERÚ Camiseta,"16,90",<img src='https://m.media-amazon.com/images/I/819BJ1DeHyL._AC_UL320_.jpg'>
9,Perú. Gastronomía (FOOD-COOK),"42,75",<img src='https://m.media-amazon.com/images/I/A1k8qgveIUL._AC_UL320_.jpg'>
10,Escudo Peruano Rojo Amante de la comida Peruana Camiseta,"16,49",<img src='https://m.media-amazon.com/images/I/71PqknPM38L._AC_UL320_.jpg'>
11,The Corner of the Innocents,No existe precio,<img src='https://m.media-amazon.com/images/I/71Wj9Abj2DL._AC_UL320_.jpg'>
12,The Sin,No existe precio,<img src='https://m.media-amazon.com/images/I/71MXIbou26L._AC_UL320_.jpg'>
13,Wiñaypacha (Eternidad),No existe precio,<img src='https://m.media-amazon.com/images/I/818nHcha+ZL._AC_UL320_.jpg'>
14,El infierno verde,No existe precio,<img src='https://m.media-amazon.com/images/I/71IIENr+IbL._AC_UL320_.jpg'>
15,Subete a mi Moto - Season 1,No existe precio,<img src='https://m.media-amazon.com/images/I/817f+MbBpzL._AC_UL320_.jpg'>
16,Cabo Blanco,No existe precio,<img src='https://m.media-amazon.com/images/I/91YgPQG+afS._AC_UL320_.jpg'>
17,Inés del alma mía - Temporada 1,No existe precio,<img src='https://m.media-amazon.com/images/I/81lboiS4yAL._AC_UL320_.jpg'>
18,Modern Family - Season 9,No existe precio,<img src='https://m.media-amazon.com/images/I/91MmVj+TnyL._AC_UL320_.jpg'>
19,Dropkick on my Devil!,No existe precio,<img src='https://m.media-amazon.com/images/I/91SZypS7TdL._AC_UL320_.jpg'>
20,Arkeo,No existe precio,<img src='https://m.media-amazon.com/images/I/71snyGFb8jL._AC_UL320_.jpg'>
21,The Judge,"3,99",<img src='https://m.media-amazon.com/images/I/912mFIDtAqL._AC_UL320_.jpg'>
22,Las Aventuras de Tintín,No existe precio,<img src='https://m.media-amazon.com/images/I/71JKvPQNQhL._AC_UL320_.jpg'>
23,The Demon of the Andes,No existe precio,<img src='https://m.media-amazon.com/images/I/81Eihjzm3mL._AC_UL320_.jpg'>
24,Mujer Diseño de Peru Cajamarca - Definicion de Cajamarquina Camiseta Cuello V,"17,49",<img src='https://m.media-amazon.com/images/I/71Km-OB+c5L._AC_UL320_.jpg'>
25,The Good Fight - Season 1,No existe precio,<img src='https://m.media-amazon.com/images/I/91FZMVv60AL._AC_UL320_.jpg'>
26,GUÍA VISUAL PERÚ (Guías visuales),"28,45",<img src='https://m.media-amazon.com/images/I/51+UbW8-OZL._AC_UL320_.jpg'>
27,Climas,No existe precio,<img src='https://m.media-amazon.com/images/I/71GQyk3BV3L._AC_UL320_.jpg'>
28,Cerveza Cusqueña Dark Lager - caja de 24 botellas x 33cl,"32,40",<img src='https://m.media-amazon.com/images/I/61JvRJfVd4L._AC_UL320_.jpg'>
29,MURRAY & LENMAN Agua DE Kananga,"13,28",<img src='https://m.media-amazon.com/images/I/311n11Zo6-L._AC_UL320_.jpg'>
30,Cool Llama sun glasses humor latin animals Peru gifts Camiseta,"18,99",<img src='https://m.media-amazon.com/images/I/81Hm5fhrOsL._AC_UL320_.jpg'>
31,Peru Balsam Oil (Myroxylon pereirae)100% Natural Pure Undiluted Uncut Essential Oil 30ml,"19,36",<img src='https://m.media-amazon.com/images/I/71oGD6Xxv6L._AC_UL320_.jpg'>
32,Mujer Chica peruana Perú Camiseta,"16,99",<img src='https://m.media-amazon.com/images/I/61TzKq9dN1S._AC_UL320_.jpg'>
