,titulo,precio
0,"Samsung Smartphone Galaxy M12 con Pantalla Infinity-V TFT LCD de 6,5 Pulgadas, 4 GB de RAM y 64 GB de Memoria Interna Ampliable, Batería de 5000 mAh y Carga rápida Negro (ES Versión)","169,00"
1,"SAMSUNG Galaxy M11 | Smartphone Dual SIM, Pantalla de 6,4"""", Cámara 13 MP, 3 GB RAM, 32 GB ROM Ampliables, Batería 5.000 mAh, Android, Color Negro","122,00"
2,"Samsung Galaxy A32 - Smartphone 128GB, 4GB RAM, Dual Sim, Black","229,00"
3,Samsung Galaxy A22 5G – Smartphone libre con 6.6 Pulgadas y Sistema Operativo Android Gris Versión ES,"229,00"
4,Samsung Galaxy A12 | Smartphone Libre 4G Ram y 64GB Capacidad Interna ampliables | Cámara Principal 48MP | 5.000 mAh de batería y Carga rápida | Color Azul [Versión española],No existe precio
5,"Samsung Galaxy A32 Color Azul | Smartphone 6.4"" FHD+ s-AMOLED con Android 11 | 4 + 128GB de Memoria | Quad-cámara 64MP y Frontal de 20MP | 5.000 mAh y Carga rápida 15W | [Versión española]",No existe precio
6,"Samsung Galaxy A21s - Smartphone de 6.5"" (4 GB RAM, 128 GB de Memoria Interna, WiFi, Procesador Octa Core, Cámara Principal de 48 MP, Android 10.0) Color Negro",No existe precio
7,"Samsung Smartphone Galaxy S20 FE con Pantalla Infinity-O FHD+ de 6,5 Pulgadas, 6 GB de RAM y 128 GB de Memoria Interna Ampliable, Batería de 4500 mAh y Carga rápida Azul (Version ES)","499,90"
8,"Samsung Galaxy S21 Ultra 5G - Smartphone 128GB, 12GB RAM, Dual Sim, Silver","980,35"
9,"Samsung Galaxy A21s - Smartphone de 6.5"" (4 GB RAM, 64 GB de memoria interna, WiFi, Procesador Octa Core, Cámara principal de 48 Mp, Android 10.0) azul","198,50"
10,Samsung Smartphone Galaxy S21 5G de 128 GB con Sistema Operativo Android Color Gris,"700,00"
11,"Samsung Smartphone Galaxy A52 5G con Pantalla Infinity-O FHD+ de 6,5 Pulgadas, 6 GB de RAM y 128 GB de Memoria Interna Ampliable, Batería de 4500 mAh y Carga Superrápida Negro (Version ES)","405,00"
12,"Samsung Smartphone Galaxy A72 con Pantalla Infinity-O FHD+ de 6,7 Pulgadas, 6 GB de RAM y 128 GB de Memoria Interna Ampliable, Batería de 5000 mAh y Carga Superrápida (ES Versión)","417,06"
13,"Samsung Galaxy S21 Ultra 5G - Smartphone 128GB, 12GB RAM, Dual Sim, Black","1.255,84"
14,"Samsung Galaxy S21 5G - Smartphone 128GB, 8GB RAM, Dual Sim, Gray","853,66"
15,"Samsung Galaxy S21 5G - Smartphone 128GB, 8GB RAM, Dual Sim, White","800,79"
16,Samsung Galaxy Xcover 5 Dual SIM 64GB 4GB RAM SM-G525FN/DS Black,"259,71"
17,"Samsung Note20 4G - Smartphone Android Libre de 6.7"" I 256 GB I Mystic Gray I [Versión española]","719,00"
18,"Samsung Galaxy A51 - Smartphone 128GB, 4GB, Azul","254,89"
19,"Samsung Galaxy SM-A426B 16,8 cm (6.6"") 128 GB 5G Negro 5000 mAh Galaxy SM-A426B, 16,8 cm (6.6""), 2,2 GHz, 128 GB, 48 MP, Negro",No existe precio
20,"Samsung Galaxy A51 - Dual SIM, Smartphone de 6.5"" Super AMOLED (4 GB RAM, 128 GB ROM, cámara Trasera 48.0 MP + 12.0 MP + 5.0 MP + 5 MP, cámara Frontal 32 MP) Azul [Versión española]","262,36"
21,Samsung Galaxy A21s Gris,"212,07"
22,"Samsung Galaxy A52 - Smartphone 128GB, 6GB RAM, Dual Sim, Black","393,33"
23,"Samsung Galaxy A12 - Smartphone 128GB, 4GB RAM, Dual Sim, Black","177,00"
24,Spigen Funda Rugged Armor Compatible con Samsung Galaxy A02s - Negro Mate,"11,99"
25,"Android 11 Teléfono Blackview A70, Pantalla HD+ 6.5'', 8.3mm Delgado&Liviano, Batería Masiva 5380mAh, Smartphone Octa Core 3GB 32GB,13MP+5MP,Dual SIM Móvil 4G,Desbloqueo Facial&Huella Digital Negro","99,99"
26,"ZTE Blade A7 2020 - Smartphone de 6.09"" HD+ 19,5:9 (Octa Core, 3 GB de RAM, 64 GB ROM, Triple Cámara de 16 MP, 8Mp, 2 MP, Cámara Frontal 8 MP, Doble SIM, Android 9), Azul (versión española)","99,00"
